burnout_level,avg_stress_level,avg_anxiety_level,avg_depression_level
Low,3.7143422663455574,2.560551938520845,0.9270176646060059
Medium,5.884788209249056,4.2964665062530285,2.3308825613486572
High,7.584743635840679,5.67422538438184,3.664511095123866
