burnout_level,avg_stress_level,avg_anxiety_level,avg_depression_level
Low,3.7143422663455623,2.560551938520861,0.927017664606003
Medium,5.884788209249091,4.2964665062530365,2.330882561348665
High,7.584743635840684,5.674225384381838,3.6645110951238724
